NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
Ram Log x10 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 01 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 02 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 03 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 04 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 05 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 06 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 07 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 08 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 09 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 10 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 11 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
BT FlatPack 12 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 001 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 002 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 003 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 004 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 005 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 006 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 007 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 008 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 009 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 010 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 011 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 012 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 013 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 014 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 015 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 016 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 017 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 018 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 019 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
FuelContainer 020 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
Bangkok Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Pnom Pehn Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Khorathidin Regional Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Bangkok Ambulance 01 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Bangkok Ambulance 02 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Bangkok Ambulance 03 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Bangkok Police 01 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Bangkok Police 02 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Bangkok Police 03 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Bangkok Police 04 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Bangkok Police 05 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Bangkok Fire 01 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Bangkok Fire 02 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Pnom Pehn Ambulance 01 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Pnom Pehn Ambulance 02 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Pnom Pehn Police 01 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Pnom Pehn Police 02 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Pnom Pehn Police 03 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Pnom Pehn Fire 01 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Pnom Pehn Fire 02 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Ambulance 01 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Ambulance 02 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Ambulance 03 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Ambulance 04 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Ambulance 05 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Ambulance 06 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Police 01 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Police 02 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Police 03 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Fire 01 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Fire 02 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Fire 03 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Regional Fire 04 - Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Kittipong Suthamchai – Emergency System Operator,,,,,Emergency Response,Physical
Nattaporn Rattanapong – Emergency System Operator,,,,,Emergency Response,Physical
Sasithorn Boonyasiri – Emergency System Operator,,,,,Emergency Response,Physical
Worachai Kanchanarat – Emergency System Operator,,,,,Emergency Response,Physical
Pimnara Chotiphan – Emergency System Operator,,,,,Emergency Response,Physical
Anusorn Wattanachai – Emergency System Operator,,,,,Emergency Response,Physical
Jirapat Srisuwan – Emergency System Operator,,,,,Emergency Response,Physical
Lalita Phanichkul – Emergency System Operator,,,,,Emergency Response,Physical
Thanawat Thongprasert – Emergency System Operator,,,,,Emergency Response,Physical
Oranuch Siripong – Emergency System Operator,,,,,Emergency Response,Physical
357192084561234 Galaxy S25 Ultra - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
864209153782145 iPhone 16 Pro Max - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
351984206713589 Pixel 9 XL - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
864512309876231 Xperia Z7 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091847563210 OnePlus 13T - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234509876543 Redmi Note 15 Pro - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
359876120345678 Moto G100 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
864209875612340 Nokia X50 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098761234567 Huawei P60 Pro - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890123 Oppo Find X7 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234567890 Vivo X90 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234098765432 Realme GT Neo 6 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098765432109 Asus ROG Phone 8 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567809876 Lenovo Legion Y90 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234098765 Honor Magic 6 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567801234 ZTE Axon 50 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098765401234 BlackBerry Key5 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890124 HTC U23 Pro - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234567801 Sony Xperia 1 VI - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890125 LG Velvet 2 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098765432101 Meizu 20 Pro - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890126 Sharp Aquos R8 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234567802 Micromax Infinity 5 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890127 Infinix Zero Ultra - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098765432102 Tecno Phantom X3 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890128 Itel Vision 5 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234567803 Lava Agni 3 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890129 Coolpad Legacy 2 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098765432103 Alcatel 5X - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890130 Fairphone 5 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234567804 Cat S65 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890131 Doogee S100 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098765432104 Ulefone Armor 15 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890132 BLU G91 Max - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234567805 Kyocera DuraForce Ultra - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890133 Palm Phone 2 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098765432105 Google Pixel Fold - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890134 Samsung Galaxy Z Flip 6 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234567806 Motorola Razr 2025 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890135 Xiaomi Mi Mix 5 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
351982104567890 Galaxy S26 Ultra - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
864209153784321 iPhone 17 Pro Max - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091847563211 Pixel 10 XL - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
864512309876232 Xperia Z8 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091847563212 OnePlus 14T - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234509876544 Redmi Note 16 Pro - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
359876120345679 Moto G200 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
864209875612341 Nokia X60 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098761234568 Huawei P70 Pro - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890124 Oppo Find X8 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234567891 Vivo X100 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234098765433 Realme GT Neo 7 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098765432110 Asus ROG Phone 9 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567809877 Lenovo Legion Y100 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234098766 Honor Magic 7 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567801235 ZTE Axon 60 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352098765401235 BlackBerry Key6 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890125 HTC U24 Pro - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
352091234567802 Sony Xperia 1 VII - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
861234567890126 LG Velvet 3 - Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Kamonchanok Srisuwan - Emergency Personnel,,,,,Emergency Response,Physical
Nattapong Wattanachai - Emergency Personnel,,,,,Emergency Response,Physical
Pimchanok Boonyarat - Emergency Personnel,,,,,Emergency Response,Physical
Thanakorn Rattanapong - Emergency Personnel,,,,,Emergency Response,Physical
Supalak Thongchai - Emergency Personnel,,,,,Emergency Response,Physical
Ananda Chaisuriyakul - Emergency Personnel,,,,,Emergency Response,Physical
Kritsada Phanurat - Emergency Personnel,,,,,Emergency Response,Physical
Nicha Suphaphanich - Emergency Personnel,,,,,Emergency Response,Physical
Ornpreeya Sakulchai - Emergency Personnel,,,,,Emergency Response,Physical
Ratchata Nimsakul - Emergency Personnel,,,,,Emergency Response,Physical
Sakchai Pradchaphet - Emergency Personnel,,,,,Emergency Response,Physical
Tassanee Yodkamol - Emergency Personnel,,,,,Emergency Response,Physical
Udom Siripong - Emergency Personnel,,,,,Emergency Response,Physical
Vichai Thongprasert - Emergency Personnel,,,,,Emergency Response,Physical
Wanida Kittisakul - Emergency Personnel,,,,,Emergency Response,Physical
Yutthana Chaisuwan - Emergency Personnel,,,,,Emergency Response,Physical
Amara Boonyasiri - Emergency Personnel,,,,,Emergency Response,Physical
Boonchai Tansakul - Emergency Personnel,,,,,Emergency Response,Physical
Chutima Pattanapong - Emergency Personnel,,,,,Emergency Response,Physical
Duangjai Wongthip - Emergency Personnel,,,,,Emergency Response,Physical
Ekachai Suwannarat - Emergency Personnel,,,,,Emergency Response,Physical
Fuangfah Kittipong - Emergency Personnel,,,,,Emergency Response,Physical
Gun Noppakun - Emergency Personnel,,,,,Emergency Response,Physical
Hansa Chotirat - Emergency Personnel,,,,,Emergency Response,Physical
Inthira Saengchai - Emergency Personnel,,,,,Emergency Response,Physical
Jariya Phanichkul - Emergency Personnel,,,,,Emergency Response,Physical
Kamol Boonsri - Emergency Personnel,,,,,Emergency Response,Physical
Lawan Thongchai - Emergency Personnel,,,,,Emergency Response,Physical
Metha Rattanapong - Emergency Personnel,,,,,Emergency Response,Physical
Nattaya Kongsiri - Emergency Personnel,,,,,Emergency Response,Physical
Anusorn Wattanapanich - Emergency Personnel,,,,,Emergency Response,Physical
Darika Suphakit - Emergency Personnel,,,,,Emergency Response,Physical
Ekkachai Prasertkul - Emergency Personnel,,,,,Emergency Response,Physical
Fon Chantarak - Emergency Personnel,,,,,Emergency Response,Physical
Ganya Rattanawan - Emergency Personnel,,,,,Emergency Response,Physical
Hiran Phongpanich - Emergency Personnel,,,,,Emergency Response,Physical
Issara Wongchai - Emergency Personnel,,,,,Emergency Response,Physical
Jirawat Boonmee - Emergency Personnel,,,,,Emergency Response,Physical
Kanchana Srisopa - Emergency Personnel,,,,,Emergency Response,Physical
Lalita Thanaporn - Emergency Personnel,,,,,Emergency Response,Physical
Manop Chotiphan - Emergency Personnel,,,,,Emergency Response,Physical
Napat Srisuwan - Emergency Personnel,,,,,Emergency Response,Physical
Orawan Srisopa - Emergency Personnel,,,,,Emergency Response,Physical
Pattaraporn Jitpraphai - Emergency Personnel,,,,,Emergency Response,Physical
Phanupong Wongpracha - Emergency Personnel,,,,,Emergency Response,Physical
Ratchanee Jitsakulchai - Emergency Personnel,,,,,Emergency Response,Physical
Somchai Wattanapanichkul - Emergency Personnel,,,,,Emergency Response,Physical
Tanaporn Boonprakob - Emergency Personnel,,,,,Emergency Response,Physical
Uthai Sirisopa - Emergency Personnel,,,,,Emergency Response,Physical
Viyada Thanaratkul - Emergency Personnel,,,,,Emergency Response,Physical
Worawut Chaisiriwanichkul - Emergency Personnel,,,,,Emergency Response,Physical
Yuwadee Phongsiriwanichkul - Emergency Personnel,,,,,Emergency Response,Physical
Arthit Kanchanapong - Emergency Personnel,,,,,Emergency Response,Physical
Benjamas Thammarat - Emergency Personnel,,,,,Emergency Response,Physical
Chaiwat Phanurat - Emergency Personnel,,,,,Emergency Response,Physical
Ekkarat Suwannarat - Emergency Personnel,,,,,Emergency Response,Physical
Fah Thongprasert - Emergency Personnel,,,,,Emergency Response,Physical
Gun Noppadolchai - Emergency Personnel,,,,,Emergency Response,Physical
Hansa Chotiphanichkul - Emergency Personnel,,,,,Emergency Response,Physical
Inthira Saengsuwan - Emergency Personnel,,,,,Emergency Response,Physical
